zone_id,location_type,stop_url,stop_name,preferred,stop_desc,wheelchair_boarding,stop_lat,stop_id,stop_lon,parent_station,stop_timezone,stop_code
,0,,King Westbound @ Pedwell,1,,1,43.915658,1413,-78.59710699999998,,,1413
,0,,King Eastbound @ Massey,2,,1,43.915331,1414,-78.597667,,,1414
,0,,King Westbound @ Rudell,2,,1,43.914759,1415,-78.60070899999998,,,1415
,0,,Highway 2 Eastbound @ Rudell,2,,1,43.914433,1416,-78.60155,,,1416
,0,,King Westbound @ Liberty,2,,1,43.910554,1430,-78.680784,,,1430
,0,,King Westbound @ George,2,,1,43.911481,1431,-78.68621,,,1431
,0,,King Westbound @ Temperance,1,,1,43.91215300000001,1432,-78.688526,,,1432
,0,,King Westbound @ Roenigk,2,,1,43.912962,1433,-78.695055,,,1433
,0,,Highway 2 Westbound @ Boswell,2,,1,43.909692,1436,-78.71688,,,1436
,0,,King Eastbound @ Roenigk,2,,1,43.912771,1452,-78.694976,,,1452
,0,,King Eastbound @ Division,2,,1,43.911662,1454,-78.687321,,,1454
,0,,King Eastbound @ Ontario,2,,1,43.911026,1455,-78.684811,,,1455
,0,,King Eastbound @ Liberty,2,,1,43.91041,1456,-78.680907,,,1456
,0,,Scugog Southbound @ Longworth,2,,1,43.924876,1476,-78.697139,,,1476
,0,,Scugog Southbound @ Jackman,2,,1,43.920873,1477,-78.695321,,,1477
,0,,Scugog Southbound @ O'Dell,2,,1,43.916997,1478,-78.69368299999998,,,1478
,0,,Church Eastbound @ Scugog Street,2,,1,43.913909,1479,-78.691688,,,1479
,0,,Church Eastbound @ Temperance,1,,1,43.913138,1480,-78.688545,,,1480
,0,,Liberty Southbound @ Park,2,,1,43.90430979,1494,-78.67758996,,,1494
,0,,Simpson Northbound @ King,1,,1,43.911329,1498,-78.675014,,,1498
,0,,Prince Eastbound @ Liberty (Lakeridge Health Bowmanville),2,,1,43.908346,1499,-78.678921,,,1499
,0,,Garden Northbound @ Willowbrook,2,,1,43.908512,15,-78.943865,,,15
,0,,Clarington Boulevard Southbound @ Prince William,1,,1,43.908456,1504,-78.70716,,,1504
,0,,Burns Eastbound @ Henry,2,,1,43.870396,151,-78.943946,,,151
,0,,Pine Grove Westbound @ Nordane,2,,1,43.825165,1519,-79.145977,,,1519
,0,,Burns Eastbound @ Centre,2,,1,43.871125,152,-78.940651,,,152
,0,,Strouds Lane Eastbound @ Autumn,2,,1,43.825601,1547,-79.132569,,,1547
,0,,Strouds Lane Eastbound @ Rosebank,2,,1,43.826216,1548,-79.130377,,,1548
,0,,Strouds Lane Northbound @ Fernam,2,,1,43.827652,1574,-79.126176,,,1574
,0,,Strouds Lane Eastbound @ Foxwood Trail,2,,1,43.828696,1575,-79.124103,,,1575
,0,,Strouds Lane Westbound @ Whites (West side stop),2,,1,43.829426,1586,-79.121337,,,1586
,0,,Kingston Westbound @ Audley,2,,1,43.868228,1587,-78.995249,,,1587
,0,,Kingston Westbound @ Alexanders Crossing,2,,1,43.86702,1588,-79.00077,,,1588
,0,,Kingston Westbound @ Wicks,2,,1,43.8643554,1590,-79.0125542,,,1590
,0,,Kingston Westbound @ Salem,1,,1,43.8634084,1591,-79.0168413,,,1591
,0,,Westbound @ 84 Kingston,2,,1,43.862111,1593,-79.022563,,,1593
,0,,Kingston Westbound @ Harwood,1,,1,43.8611712,1594,-79.0267418,,,1594
,0,,Westbound @ 132 Kingston,2,,1,43.859995,1595,-79.031718,,,1595
,0,,Kingston Westbound @ Chapman,2,,1,43.859254,1596,-79.035043,,,1596
,0,,Kingston Westbound @ Westney Heights Plaza,2,,1,43.85832,1597,-79.03932,,,1597
,0,,Kingston Westbound @ Westney,1,,1,43.85744,1598,-79.043041,,,1598
,0,,Kingston Westbound @ Mill,2,,1,43.856298,1599,-79.047905,,,1599
,0,,Garden Northbound @ Meadowglen,2,,1,43.91038600000001,16,-78.944674,,,16
,0,,Kingston Westbound @ Church,1,,1,43.85465700000001,1600,-79.05529,,,1600
,0,,Kingston Westbound @ Elizabeth,2,,1,43.853329,1601,-79.060678,,,1601
,0,,Kingston Westbound @ Notion,2,,1,43.852381,1602,-79.064752,,,1602
,0,,Kingston Westbound @ Bainbridge,2,,1,43.8501483,1603,-79.0710031,,,1603
,0,,Kingston Westbound @ Brock Road,1,,1,43.84772,1604,-79.07452499999998,,,1604
,0,,Kingston Westbound @ Valley Farm,2,,1,43.84172800000001,1607,-79.083084,,,1607
,0,,Kingston Westbound @ Glenanna,1,,1,43.83815,1608,-79.08748,,,1608
,0,,Kingston Westbound @ Liverpool,1,,1,43.83548,1609,-79.09104,,,1609
,0,,Kingston Westbound @ Walnut,2,,1,43.83097019,1610,-79.09672757,,,1610
,0,,Kingston Westbound @ Dixie,1,,1,43.82906,1611,-79.098675,,,1611
,0,,Kingston Westbound @ Fairport,1,,1,43.823716,1612,-79.106421,,,1612
,0,,Westbound @ 804 Kingston,2,,1,43.821703,1613,-79.111949,,,1613
,0,,Kingston Westbound @ Steeple Hill,1,,1,43.817215,1615,-79.118076,,,1615
,0,,Kingston Westbound @ Rosebank,2,,1,43.81332,1616,-79.123324,,,1616
,0,,Kingston Westbound @ Rougemount,2,,1,43.809718,1617,-79.129028,,,1617
,0,,West Shore Southbound @ Vistula,2,,1,43.82025,1645,-79.105278,,,1645
,0,,Brock Street Northbound @ Arthur,2,,1,43.86900700000001,166,-78.937411,,,166
,0,,West Shore Southbound @ Samford,2,,1,43.817692,1663,-79.104211,,,1663
,0,,Brock Street Northbound @ St Peter,1,,1,43.87108400000001,167,-78.93832,,,167
,0,,West Shore Northbound @ Samford,2,,1,43.817582,1674,-79.104031,,,1674
,0,,Brock Street Northbound @ Burns,2,,1,43.872514,168,-78.938948,,,168
,0,,Oklahoma Westbound @ West Shore,2,,1,43.813826,1685,-79.103099,,,1685
,0,,Oklahoma Westbound @ Hillcrest,2,,1,43.813024,1687,-79.10671499999998,,,1687
,0,,Bayly Eastbound @ West Shore,2,,1,43.821218,1689,-79.105446,,,1689
,0,,Brock Street Northbound @ Trent,2,,1,43.873574,169,-78.93940499999998,,,169
,0,,Bayly Eastbound @ 957 Bayly,2,,1,43.822764,1690,-79.102195,,,1690
,0,,Bayly Eastbound @ St Martins,2,,1,43.827085,1693,-79.092836,,,1693
,0,,Bayly Eastbound @ Liverpool,2,,1,43.828787,1694,-79.08666599999998,,,1694
,0,,Bayly Eastbound @ Pickering Station,2,,1,43.82915733045823,1695,-79.08495872161193,,,1695
